symbol,log2FC,p,padj
ABCF3,0.06757928198412522,0.4463530230746976,0.8619155681397342
ABCG1,0.009367147111110086,0.9301964300580755,0.9850997736752746
ABCG2,-0.2741728633492073,0.10945535981017994,0.6204614770767938
ABCG4,0.04474313449206502,0.5998935418918834,0.9206822609288631
ABCG5,0.0898121478650804,0.633897671933596,0.9248641008026981
ABCG8,0.2802517972777778,0.2298490271798759,0.7385082198603579
ABHD1///PREB,0.319532018206349,0.03754184409111163,0.464579269036727
ABHD10,-0.037916254325398135,0.7299337771797767,0.9451327770716634
ABHD11,-0.04286582399999972,0.5262245565361682,0.892088977014625
ABHD12,0.04860135541269894,0.6120783224925097,0.9224901934811368
ABHD12B,-0.05227968964285745,0.44539079683819116,0.8611937615442827
ABHD13,-0.1648537520555582,0.0882284006949346,0.585482097656707
ABHD14A,0.012789677142857947,0.893122537846021,0.9790173665385782
ABHD14B,-0.028822827317460664,0.8278468432664676,0.9682320860048133
ABHD15,0.0064547571190489705,0.9758827299426059,0.9936920623526992
ABHD16A,0.020554832952381474,0.7910842209542207,0.9613683587041632
ABHD16B,-0.06580661379365171,0.5075593530003701,0.8856542096821903
ABHD17A,-0.18146955121428654,0.3281844340102351,0.8004327287704377
ABHD17B,-0.10273959102381003,0.29988617671982776,0.7831835012515176
ABHD17C,-0.12402265646825406,0.1970368875324832,0.7149382157081539
ABHD18,-0.1546814691428562,0.10757535812108056,0.6177434192398117
ABHD2,0.031754122777780225,0.7496134863688887,0.9505637010779686
ABHD3,-0.31057604310317544,0.016700920335229793,0.35870672372189205
ABHD4,0.10309349703174675,0.22733735811430097,0.7365240248552198
ABHD5,0.001581780269843236,0.9905319426745631,0.9973468037061733
ABHD6,0.057421580150792906,0.6085708462328528,0.9222735587527675
ABHD8,0.05689341330158726,0.682000234120526,0.9340988307623819
ABI1,0.060888717563492456,0.4480669380577196,0.8619155681397342
ABI2,-0.07045968019047688,0.4706660760460858,0.8726538542875707
ABI3,0.13250756136507924,0.29299505987444074,0.7805203304006065
ABI3BP,0.19768502382539488,0.36668072492322934,0.8220889309934788
ABL1,0.13082698535714155,0.07154409914866296,0.5582948596410705
ABL2,-0.1365540463333348,0.08529557892736299,0.580372493544167
ABLIM1,0.17904549684127158,0.192253561113647,0.7121262630841725
ABLIM2,0.013804204261902875,0.8791019209550938,0.9766542802393245
ABLIM3,-0.05171957121428683,0.764839374077444,0.9537522193391613
ABO,-0.09195977725396887,0.4763694251375086,0.8758004989086003
ABR,0.3705443869206331,0.005334921093912444,0.24344764647311787
ABRA,-0.05548708565079341,0.5595236182690155,0.9047432910413714
ABRACL,0.00022078821428639372,0.9990892529865072,0.9995941229184728
ABT1,-0.16861919199999953,0.030901615089116315,0.4399381784675085
ABTB1,0.12264924661111198,0.22486224643125247,0.7361988554686881
ABTB2,0.014938524698411726,0.9298238519558957,0.9850743957273099
ACAA1,0.0992288957777756,0.40710762170554493,0.8424329835471148
ACAA2,-0.15235234119047902,0.15554657283514436,0.6780973495916948
ACACA,0.3818330772222218,0.04051164501004422,0.4701649972261245
ACACB,0.14882048485714172,0.35309443037274013,0.8134184022713238
ACAD10,0.05511503072222368,0.5108360843656881,0.8871212399422864
ACAD8,-0.043273126531742534,0.5806396100982913,0.9129230447858092
ACAD9,-0.11723989879365249,0.09513268737263936,0.5985927454567119
ACADL,0.09079806880158436,0.5382553967038215,0.8968954809170219
ACADM,-0.16729355923015632,0.1644744819010958,0.6874164560752398
ACADS,0.016643971952381875,0.9204178522308161,0.9837235008168961
ACADSB,-0.42487680567460195,0.0012597510570754881,0.1629307330316222
ACADVL,-0.06684165404761977,0.36159996606336897,0.818764193700109
ACAN,-0.005980428436508589,0.9414809178476642,0.9873021906433981
ACAP2,0.043481874023808764,0.6838531469849254,0.9341392985029088
ACAP3,0.201798260984126,0.03713994516470255,0.46319732103810685
