target,herb,name,affinity,note
ACC2_5KKN,Sophora flavescens(苦参),Sophocarpine,-8.305,
ACC2_5KKN,Sophora flavescens(苦参),Oxysophocarpine,-8.333,
ACC2_5KKN,Sophora flavescens(苦参),Sophoramine,-7.986,
ACC2_5KKN,Sophora flavescens(苦参),Aloperine,-7.551,
ACC2_5KKN,Sophora flavescens(苦参),N-Methylcytisine,-7.67,
ACC2_5KKN,Sophora flavescens(苦参),Anagyrine,-8.656,
ACC2_5KKN,Sophora flavescens(苦参),Baptifoline,-7.756,
ACC2_5KKN,Sophora flavescens(苦参),Kurarinol,-8.846,
ACC2_5KKN,Sophora flavescens(苦参),Sophoraflavanone G,-9.161,
ACC2_5KKN,Sophora flavescens(苦参),Kushenol C,-9.144,
ACC2_5KKN,Sophora flavescens(苦参),Kushenol E,-9.18,
ACC2_5KKN,Sophora flavescens(苦参),Kushenol H,-10.26,
ACC2_5KKN,Sophora flavescens(苦参),Kushenol I,-8.476,
ACC2_5KKN,Sophora flavescens(苦参),Formononetin,-8.911,
ACC2_5KKN,Sophora flavescens(苦参),Maackiain,-9.045,
ACC2_5KKN,Silybum marianum(水飞蓟),Silybin A,-8.577,
ACC2_5KKN,Silybum marianum(水飞蓟),Silybin B,-8.563,
ACC2_5KKN,Silybum marianum(水飞蓟),Isosilybin A,-8.552,
ACC2_5KKN,Silybum marianum(水飞蓟),Isosilybin B,-8.333,
ACC2_5KKN,Silybum marianum(水飞蓟),Silydianin,-10.75,
ACC2_5KKN,Silybum marianum(水飞蓟),Silandrin,-8.669,
ACC2_5KKN,Silybum marianum(水飞蓟),Silyhermin,-8.777,
ACC2_5KKN,Silybum marianum(水飞蓟),Neosilyhermin A,-9.494,
ACC2_5KKN,Silybum marianum(水飞蓟),Neosilyhermin B,-8.763,
ACC2_5KKN,Silybum marianum(水飞蓟),Silymonin,-10.76,
ACC2_5KKN,Silybum marianum(水飞蓟),"2,3-Dehydrosilybin",-8.618,
ACC2_5KKN,Artemisia annua(青蒿),Artemisinin,-6.784,
ACC2_5KKN,Artemisia annua(青蒿),Arteannuin B,-8.3,
ACC2_5KKN,Artemisia annua(青蒿),Artemisinic acid,-7.615,
ACC2_5KKN,Artemisia annua(青蒿),Dihydroartemisinic acid,-7.345,
ACC2_5KKN,Artemisia annua(青蒿),Deoxyartemisinin,-8.178,
ACC2_5KKN,Artemisia annua(青蒿),Dihydroartemisinin,-6.813,
ACC2_5KKN,Artemisia annua(青蒿),Artemisitene,-7.188,
ACC2_5KKN,Artemisia annua(青蒿),beta-Caryophyllene,-5.773,
ACC2_5KKN,Artemisia annua(青蒿),Caryophyllene oxide,-4.761,
ACC2_5KKN,Artemisia annua(青蒿),Camphor,-5.282,
ACC2_5KKN,Artemisia annua(青蒿),"1,8-Cineole",-5.258,
ACC2_5KKN,Artemisia annua(青蒿),Artemisia ketone,-5.705,
ACC2_5KKN,Artemisia annua(青蒿),Casticin,-8.025,
ACC2_5KKN,Artemisia annua(青蒿),Chrysosplenol D,-8.854,
ACC2_5KKN,Artemisia annua(青蒿),Chrysosplenetin,-8.535,
ACC2_5KKN,Artemisia annua(青蒿),Artemetin,-8.181,
ACC2_5KKN,Artemisia annua(青蒿),Cirsilineol,-8.793,
ACC2_5KKN,Artemisia annua(青蒿),Eupatorin,-8.333,
ACC2_5KKN,Artemisia annua(青蒿),Cirsimaritin,-8.585,
ACC2_5KKN,Artemisia annua(青蒿),Scopoletin,-6.626,
ACC2_5KKN,Artemisia annua(青蒿),Scopolin,-8.36,
ACC2_5KKN,Artemisia annua(青蒿),4-Methylesculetin,-7.27,
ACC2_5KKN,Artemisia annua(青蒿),Umbelliferone,-6.689,
ACC2_5KKN,Tripterygium wilfordii(雷公藤),Triptophenolide,-10.33,
ACC2_5KKN,Tripterygium wilfordii(雷公藤),Tripterifordin,-8.666,
