herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem,fxr_mu_pIC50,fxr_sigma,leverage_h,confidence_weight_w,tier,dG_THRB,dG_ACC,s_FXR,s_THRB,s_ACC,w_conf,CW_BCS,flag_FXR_active,flag_THRB_good,flag_ACC_good,n_targets_covered
Sophora flavescens(苦参),Kushenol E,OK,,127234.0,CC(=CCC1=C(C(=C2C(=C1O)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)O)C,C25H28O6,424.49,5.23,4.0,6.0,True,,424.5,5.361,0.522,0.0237,0.657,in_domain_high_conf(域内高置信),-9.221,-9.18,0.3145618827484766,0.9290927351858053,0.6452036793692509,0.657030223390276,0.4985,False,True,True,2
Salvia miltiorrhiza(丹参),Tanshinone I,OK,,114917.0,CC1=C2C=CC3=C(C2=CC=C1)C(=O)C(=O)C4=C3OC=C4C,C18H12O3,276.29,4.1,0.0,3.0,True,imine_one_A(321);quinone_D(2),276.3,5.078,0.523,0.0207,0.656,in_domain_high_conf(域内高置信),-9.13,-10.14,0.255095608321076,0.9229996652159358,0.7853701270258433,0.6565988181221273,0.4952,False,True,True,2
Sophora flavescens(苦参),Sophoramine,OK,,169014.0,C1C[C@H]2CN3C(=O)C=CC=C3[C@@H]4[C@H]2N(C1)CCC4,C15H20N2O,244.34,1.82,0.0,2.0,True,,244.33,6.365,0.828,0.0433,0.547,in_domain_low_conf(域内低置信),-8.326,-7.986,0.5255305736499266,0.8691663876799466,0.47087166009636444,0.5470459518599563,0.49,False,True,True,2
Silybum marianum(水飞蓟),Isosilybin A,OK,,11059920.0,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4,6.377,0.675,0.1064,0.597,OOD_warning(域外预警),-4.891,-8.552,0.5280521117881908,0.6391697355205892,0.5535114615272302,0.5970149253731343,0.4814,False,False,True,1
Coptis chinensis(黄连),Magnoflorine,OK,,73337.0,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C,C20H24NO4+,342.42,3.01,2.0,4.0,True,,342.4,6.634,0.589,0.0157,0.629,in_domain_high_conf(域内高置信),-3.509,-8.54,0.5820550535826856,0.5466354201540007,0.5517593809315228,0.6293266205160478,0.4798,True,False,True,2
Silybum marianum(水飞蓟),Silydianin,OK,,11982272.0,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@]4([C@H]3C(=C[C@H]2C4=O)[C@@H]5[C@H](C(=O)C6=C(C=C(C=C6O5)O)O)O)O)O,C25H22O10,482.44,0.99,5.0,10.0,True,,482.4,5.878,0.64,0.1618,0.61,OOD_warning(域外预警),-2.521,-10.75,0.42319815087203205,0.4804820890525611,0.8744342239743029,0.6097560975609756,0.4768,False,False,True,1
Silybum marianum(水飞蓟),Isosilybin B,OK,,10885340.0,COC1=C(C=CC(=C1)[C@H]2[C@@H](OC3=C(O2)C=CC(=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,C25H22O10,482.44,2.36,5.0,10.0,True,,482.4,6.392,0.667,0.1064,0.6,OOD_warning(域外预警),-4.996,-8.333,0.5312040344610214,0.6462002008704386,0.5215359906555702,0.5998800239952009,0.4753,False,False,True,1
Sophora flavescens(苦参),Baptifoline,OK,UNCERTAIN,160543.0,C1CN2C[C@H]3C[C@@H]([C@H]2C[C@H]1O)CN4C3=CC=CC4=O,C15H20N2O2,260.34,0.79,1.0,3.0,True,,260.33,6.259,0.878,0.0453,0.533,in_domain_low_conf(域内低置信),-8.184,-7.756,0.5032569867619249,0.8596585202544359,0.43729011534530593,0.5324813631522897,0.4653,False,True,True,2
Salvia miltiorrhiza(丹参),Isotanshinone IIB,OK,UNCERTAIN,184102.0,CC1=COC2=C1C(=O)C3=C(C2=O)C4=C(C=C3)C(CCC4)(C)CO,C19H18O4,310.35,2.95,1.0,4.0,True,quinone_A(370),310.3,5.105,0.504,0.022,0.665,in_domain_high_conf(域内高置信),-7.866,-9.349,0.2607690691321708,0.8383662537663209,0.6698788144254636,0.6648936170212766,0.4601,False,True,True,2
Silybum marianum(水飞蓟),Silymonin,OK,UNCERTAIN,156051.0,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@]4([C@H]3C(=C[C@H]2C4=O)[C@@H]5CC(=O)C6=C(C=C(C=C6O5)O)O)O)O,C25H22O9,466.44,2.02,4.0,9.0,True,,466.4,5.627,0.65,0.1107,0.606,OOD_warning(域外预警),-2.716,-10.76,0.3704559781466695,0.4935386675594242,0.8758942911373924,0.6060606060606061,0.4596,False,False,True,1
Glycyrrhiza uralensis(甘草),Isoglycyrol,OK,,124050.0,CC1(CCC2=C(O1)C=C3C(=C2OC)C4=C(C5=C(O4)C=C(C=C5)O)C(=O)O3)C,C21H18O6,366.37,4.51,1.0,6.0,True,,366.4,5.395,0.861,0.0228,0.537,in_domain_low_conf(域内低置信),-7.952,-9.174,0.3217062408068922,0.8441245396719116,0.6443276390713972,0.537345513164965,0.4547,False,True,True,2
Sophora flavescens(苦参),Matrine,OK,,91466.0,C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@@H](CCC4)CN2C(=O)C1,C15H24N2O,248.37,1.87,0.0,2.0,True,,248.36,6.159,1.244,0.0598,0.446,OOD_warning(域外预警),-7.91,-8.21,0.48224416894305533,0.8413123535319721,0.5035771645495695,0.4456327985739751,0.4499,False,True,True,2
