,log2FC,p,padj
ACMSD,0.21287463696794617,0.19249626510983317,0.2739562188908933
ACO1,0.3216534144471961,0.008843786540983953,0.023089420228749883
ACO2,0.8949547210710822,1.8095863205428325e-05,0.00032295100236227783
ACOT1,0.6953041831854456,0.04070901909213795,0.07789434508566925
ACOT11,0.09187030746584446,0.7362336977591324,0.7945259129164645
ACOT12,0.17484481060880164,0.36915112076808776,0.4635381666121821
ACOT13,-0.6206413598768137,4.322672461162768e-05,0.0005384101409249421
ACOT2,0.584125183283275,0.040614404669059245,0.0777585538008932
ACOT4,-0.04506022498165585,0.625284004258625,0.702696557417438
ACOT7,0.4987067922095081,0.0008251880329352782,0.003911242593584763
ACOT8,0.4344573622542107,0.0016457798445393152,0.00645791834583103
ACOT9,0.07738548380040289,0.2680886064431167,0.3580088010273701
ACOX1,-0.19376125810104305,0.00982186339553985,0.02504594207862265
ACOX2,0.09090211910116608,0.4047238180661874,0.49887627842950716
ACOX3,0.48737449419071055,0.0027872167317077503,0.00957687086524348
ACP1,-0.20355887545845164,0.02339700812245969,0.05009618229443469
ACP2,0.2795543588615743,0.012232494437156991,0.029756611675961886
ACP5,0.8351312700585556,0.0036258171665029325,0.01172329724459515
ACP6,-0.12426535376603276,0.2292794462813467,0.31512147930392403
ACRBP,0.6310098009087635,0.02485380919511668,0.05256506710779381
ACSF2,0.4451964570964293,0.014021907526722544,0.03330371724232532
ACSF3,0.46528610941477666,0.025416181010127298,0.05362512493201866
ACSL1,-0.0421504151202754,0.7103772199061275,0.7734761236279217
ACSL3,-0.09044831337582693,0.49720664662481706,0.586683324935518
ACSL4,-0.2015055055820678,0.6589547246653256,0.73001494599672
ACSL5,-0.4894571253710538,0.00044923539026395763,0.0025573783074661766
ACSL6,-0.19720603703203388,0.3230916189278559,0.41609948729639556
ACSM1,0.9953280777541815,0.05201878811225607,0.0949227414040655
ACSM2A,-0.11576128216767145,0.43802041337718456,0.5314345998662585
ACSM2B,0.17378967447533533,0.1517279695853083,0.22612801633879198
ACSM3,-0.36947041024870053,0.0005988632325521825,0.003109386330248406
ACSM5,-0.7057230080812591,0.0013983760119221167,0.005729856599629783
ACSS1,0.1747189192265326,0.32073505113751516,0.4136910346736432
ACSS2,1.1599266495057492,0.00011532629387115765,0.0010173620008634048
ACSS3,0.2897805973378116,0.021762595245858836,0.04728170057297345
ACTA1,0.8377241862345994,0.09701698122881951,0.1580656947978029
ACTA2,-0.5020499264548555,0.19103792352271912,0.2721457606513944
ACTB,-0.5924379747712081,3.8664850286382164e-05,0.0005042986710032884
ACTG1,-0.48711535532465255,0.0032151521855062347,0.01067147521261756
ACTG2,-2.5241569284752012,0.00033005686606625903,0.0020622373655432703
ACTL6A,-0.2336572380545423,0.04332019367122401,0.08186685376452245
ACTMAP,-0.05693029364127522,0.7762103103678779,0.8266297792177258
ACTN1,0.45049739729117455,0.000450585040383416,0.00256005432837181
ACTN2,-1.6559385564263338,0.0003809146013601867,0.0022783855169124763
ACTN4,0.8418382565262128,0.0004704994582024719,0.002626689038088757
ACTR10,-0.14010750685025464,0.12088422622265758,0.18847679320846553
ACTR1A,0.5103771374688097,0.00011501808640212587,0.0010173620008634048
ACTR1B,0.42847244290016206,0.00025157585274788714,0.0017189491902301088
ACTR2,-0.15992941515760783,0.20300585437929924,0.28588179899902816
ACTR3,-0.18602844016678688,0.10670411340139462,0.1703458191004422
ACTR3B,0.13560345929212314,0.2758002190479591,0.366054518782826
ACTR3C,0.16346234711991503,0.25349340951082155,0.34193403910325465
ACTR5,0.41426661224752603,0.03481566156198705,0.06882031808308021
ACTR6,-0.32757294213223087,0.014713408274540112,0.03451497396736688
ACTR8,0.25880011126032443,0.03420006811595683,0.06787890386738799
ACTRT3,0.2105602904230066,0.22189077202723764,0.3066970706677445
ACVR1,-0.4752577788792163,0.0006339892554486666,0.003245955888250803
ACVR1B,0.7071391072782198,0.00011191332944451286,0.0009972872779022207
ACVR1C,-0.6609044091507155,0.002147287103943,0.007884625880286317
ACVR2A,-0.48320378431407374,0.0010253339151072636,0.00458422241030997
ACVR2B,-0.5687048753109378,0.004608382111262364,0.013985706024327154
ACVRL1,0.3897100847081436,0.08112588799103247,0.13669597806124137
ACY1,-0.00916116670155187,0.9694999507248873,0.9785016000525202
ACY3,0.2972682232418258,0.2825134811725897,0.37300740994409476
ACYP1,-0.8921225986035894,1.0063393111872923e-06,5.8054302456344106e-05
ACYP2,-0.8938585359391418,1.6229671193424058e-08,4.447268025148055e-06
ADA,0.1565746302141484,0.4804335393078507,0.5714076368105239
ADA2,0.6364977952807251,0.002306502461659072,0.008313991221468005
ADAM10,-0.3270414348408881,0.00033276677771723834,0.0020753349584233453
ADAM15,1.206731283139984,0.0008414467808104862,0.003972559048097748
ADAM17,-0.4241095545836604,0.0021673256435084448,0.007927834357226491
ADAM19,-0.09769750170935954,0.6707790779184927,0.7404747974705778
ADAM28,-0.4833373258187814,0.0017218958398832359,0.006684798105662398
ADAM8,0.32383322641294754,0.1585895533297417,0.23450572174773385
ADAM9,0.5041328401735683,0.029470041397722437,0.06043334183103262
ADAMTS1,-1.2171927880246844,0.024130817197171455,0.05133311314805049
