,log2FC,p,padj
PEX7,-0.47178851704285574,0.000555369097165251,0.002992531640726975
PFAS,0.45735124874216115,0.0010560371073582203,0.004792980011415691
PFDN1,-0.20565271136197794,0.13030903738961688,0.20384226898922747
PFDN2,-0.6891137372105511,3.683925352600667e-05,0.0004457651348919648
PFDN4,-0.9990383233804518,7.714221539393058e-06,0.0001611984380561094
PFDN5,-0.7796556792990241,5.347684932909085e-06,0.00012478417926737817
PFDN6,-0.45366397706852446,0.00011522069434024575,0.0009763852817482051
PFKFB1,0.1794885487418103,0.2911932849461753,0.3883266021390088
PFKFB2,0.5704823823834753,0.00020529741392626255,0.001492325789933808
PFKFB3,-0.8136995467049601,0.1290321937820291,0.2021873296181831
PFKFB4,0.7520310105761396,0.026515254521399374,0.05708874492060337
PFKL,1.7107900681136385,0.000173455454290353,0.0013270968028728453
PFKM,0.3802463204055684,0.0013588425991866147,0.005778485841287276
PFKP,0.9095204585188146,0.0038866977988712757,0.012645164714830492
PFN1,0.14936361159880462,0.08892256252129689,0.15044134853420568
PFN2,-0.8646063004347244,3.081632857094923e-08,4.222158017642659e-06
PGAM1,0.7979396318079424,0.0006660246614776925,0.0034294963094465983
PGAM2,-0.08470070178455069,0.8366156222119214,0.8782127118079331
PGAM5,0.36696386483625787,0.0013622272112099167,0.005787085053924127
PGAP1,-0.7842770444538267,4.8325198043185525e-05,0.0005446626648346352
PGAP2,0.1373988347033741,0.1657542101347467,0.2478868818535899
PGAP3,0.14020516923461912,0.27980079946363207,0.37685039111317586
PGAP4,1.928278786627299,0.006710558786924002,0.019117178988817665
PGAP6,1.1187226329844968,0.00014907815154348257,0.0011890994100978932
PGBD1,0.19592182651594126,0.26622454871669154,0.36213202724197247
PGBD2,-0.2657351214800663,0.08351495221198836,0.1429185748691495
PGBD4,-0.5215115012443574,0.005612403100410528,0.01669756570452379
PGBD5,0.18745432995275824,0.19201183570909558,0.2798063012499152
PGCKA1,0.1288685375401748,0.3667601526538793,0.465142829800065
PGD,0.8925451508918876,0.0004622589895254978,0.0026309357374421777
PGF,-0.01460924007080866,0.9477454457363558,0.9622304784075868
PGGHG,1.0215091415365993,0.03468349423989155,0.07066331279009923
PGGT1B,-0.5338769759784876,0.0020433376014667454,0.007826447138058272
PGK1,0.4959556003242156,0.0027229806786324873,0.009735081507489292
PGLS,0.41590056199492054,0.010434044862653927,0.027154529497128436
PGLYRP2,1.2712767490512125,0.0017408665548731615,0.00696399568012369
PGM1,0.3974517820128707,0.07570871872133977,0.13187614585376534
PGM2,0.08493209729287088,0.6753779386156167,0.7476221197282618
PGM2L1,-0.7101795596083615,0.0017864208778127632,0.00709658526302364
PGM3,0.056937221726888865,0.7473045953214844,0.8071356004486355
PGM5,-0.18047475138635516,0.437560371610893,0.5344754427747098
PGP,0.6559702679090123,0.0002821315596972601,0.0018675774558118076
PGPEP1,0.35978000320720227,0.020899508943569775,0.04722405791698561
PGR,0.03345677188295815,0.9038176024110438,0.930629164596218
PGRMC1,-0.5134957098340802,9.298532349549529e-05,0.000844055182840752
PGRMC2,-0.42300928072296884,0.0011893833133741897,0.005238098912787523
PGS1,0.4058535802054024,0.0058534046706111,0.01725549388455604
PHACTR1,-0.9474824982030805,0.001175254878858875,0.0051953312064233655
PHACTR2,-0.5056173893643958,0.01345252005023462,0.0331536436613708
PHACTR4,-0.4682514823341162,0.0013323339190351518,0.00569521873157925
PHAF1,-0.0950254954315195,0.23590841952357774,0.32855817894892186
