canonical_smiles,name,organism,pathway,pAct_ACC2,pAct_DGAT2,pAct_FASN,pAct_FDFT1,pAct_FXR,pAct_HMGCR,pAct_LXRa,pAct_PPARG,pAct_SCD,pAct_THRb,top3_mean,max_pAct,n_active,MTS,admet_ok,pains,mw2,obscure,final
CC1(C)C=CC2=CC(C3=COC4=C5C=CC(C)(C)OC5=CC(O)=C4C3=O)=CC=C2O1,Ulexone B,Flemingia macrophylla|Maackia amurensis|Ulex europaeus,Shikimates and Phenylpropanoids,6.77,7.61,5.37,6.22,6.75,7.04,5.76,5.51,5.12,6.58,7.14,7.61,5,34.75,True,False,402.44600000000014,1.0,36.49
CC(C)(O)[C@@H](O)CC1=C(O)C=C(O)C2=C1OC=C(C1=CC=C(O)C=C1)C2=O,ERYCIBENIN B,Erycibe expansa,Shikimates and Phenylpropanoids,6.69,7.72,5.13,6.57,5.4,7.22,5.81,5.38,5.17,6.54,7.21,7.72,5,34.74,True,False,372.3730000000001,1.0,36.48
COC1=CC([C@@H]2CC(=O)C3=C(C=C4OC(C(C)(O)CCC=C(C)C)CC4=C3O)O2)=CC=C1O,"(7S)-4-hydroxy-7-(4-hydroxy-3-methoxyphenyl)-2-(2-hydroxy-6-methylhept-5-en-2-yl)-2,3,6,7-tetrahydrofuro[3,2-g]chromen-5-one",Paulownia tomentosa,Shikimates and Phenylpropanoids,6.52,7.48,5.17,6.83,6.67,5.8,5.53,5.74,5.03,7.24,7.18,7.48,5,34.74,True,False,454.5190000000003,1.0,36.48
CC1(C)C=CC2=C(C=C(O)C3=C2OC=C(C2=CC=C4OCOC4=C2)C3=O)O1,"5-Hydroxy-3',4'-methylenedioxy-6'',6''-dimethylpyrano[2'',3'':7,8]isoflavone",Deguelia scandens|Deguelia spruceana|Derris scandens|Derris spruceana,Shikimates and Phenylpropanoids,6.79,7.62,5.36,6.16,6.73,7.02,5.59,5.11,5.13,6.57,7.14,7.62,5,34.73,True,False,364.3530000000002,1.0,36.47
C=C(C)[C@H]1COC2=C(C)C=C3OC4=C([C@@H](OC)[C@@H](O)C(C)(C)O)C=CC(O)=C4C(=O)C3=C2[C@@H]1O,Aspergixanthone B,Aspergillus|Aspergillus sp.|Aspergillus sp. ZA-01,Polyketides,6.66,7.59,5.21,6.5,5.38,5.64,6.11,6.83,5.08,7.13,7.18,7.59,5,34.71,True,False,470.5180000000002,1.0,36.45
C=C(C)[C@@H](OC1=C(OC)C(O)=C2C(=O)C(OC)=C(C3=CC=C(OC)C=C3)OC2=C1OC)[C@@H](O)C1=C(OC)C=CC2=C1OC(=O)C=C2,,Micromelum minutum,Shikimates and Phenylpropanoids,6.73,7.25,5.33,7.04,5.37,7.14,5.99,5.54,5.14,6.54,7.14,7.25,5,34.7,True,False,632.6180000000003,1.0,36.44
C=C(C)[C@H](OC1=C(OC)C(O)=C2C(=O)C(OC)=C(C3=CC=C(OC)C=C3)OC2=C1OC)[C@H](O)C1=C(OC)C=CC2=C1OC(=O)C=C2,"5-hydroxy-7-[(1R,2S)-1-hydroxy-1-(7-methoxy-2-oxochromen-8-yl)-3-methylbut-3-en-2-yl]oxy-3,6,8-trimethoxy-2-(4-methoxyphenyl)chromen-4-one",Micromelum minutum,Shikimates and Phenylpropanoids,6.73,7.25,5.33,7.04,5.37,7.14,5.99,5.54,5.14,6.54,7.14,7.25,5,34.7,True,False,632.6180000000003,1.0,36.44
C[C@H](O)[C@@H]1O[C@@H](OC2=CC(O)=C3C(=O)C(O)=C(C4=CC=C(O)C=C4)OC3=C2)[C@H](O)[C@H]1O,,Macroptilium atropurpureum|Phaseolus atropurpureum|Prunus spinosa,Shikimates and Phenylpropanoids,6.59,7.55,5.19,6.13,5.28,7.4,6.59,5.24,5.14,6.53,7.18,7.55,5,34.66,True,False,432.3810000000001,1.0,36.39
C[C@H](O)[C@H]1O[C@@H](OC2=CC(O)=C3C(=O)C(O)=C(C4=CC=C(O)C=C4)OC3=C2)[C@H](O)[C@@H]1O,,Aconitum orientale|Aspergillus ochraceus|Cordia fragrantissima|Cyperus teneriffae|Mundulea chapelieri,Shikimates and Phenylpropanoids,6.59,7.55,5.19,6.13,5.28,7.4,6.59,5.24,5.14,6.53,7.18,7.55,5,34.66,True,False,432.3810000000001,1.0,36.39
COC1=CC=C(C[C@H]2/N=C(\O)C[C@@H](C[C@H](O)[C@H](C)/C=C/C3=CC=CC=C3)OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)C/N=C/2O)C=C1Cl,"(3~{S},6~{R},8~{Z},10~{R},11~{Z},14~{R})-10-[(3-chloro-4-methoxy-phenyl)methyl]-9,12-dihydroxy-14-[(~{E},2~{S},3~{R})-2-hydroxy-3-methyl-5-phenyl-pent-4-enyl]-3-isobutyl-6-methyl-1,4-dioxa-8,11-diazacyclotetradeca-8,11-diene-2,5-dione",Ajuga nipponensis|Anneissia japonica|Capnella lacertiliensis|Cladrastis sikokiana|Cytisus prolifer|Eleutherococcus sieboldianus|Eriobotrya deflexa|Grevillea robusta|Katsuwonus pelamis|Lasius meridionalis|Lycopodium saururus|Meyerozyma guilliermondii|Neurolaena lobata|Nostoc sp|Osteospermum oppositifolium|Peperomia clusiifolia|Rana catesbeiana|Smilax moranensis|Streptomyces pilosus|Tinospora rumphii|Ungernia vvedenskyi|Vaccinium arctostaphylos,Polyketides,6.54,7.57,6.34,7.04,5.46,5.9,5.76,6.63,5.14,6.88,7.16,7.57,5,34.66,True,False,657.2040000000002,1.0,36.39
