  Sophora flavescens(苦参) | Kushenol H | CID 44584091 | MW 473 | ADMET True
  Sophora flavescens(苦参) | Kushenol I | CID 20832634 | MW 455 | ADMET True
  Sophora flavescens(苦参) | Formononetin | CID 5280378 | MW 268 | ADMET True
  Sophora flavescens(苦参) | Maackiain | CID 91510 | MW 284 | ADMET True
  Sophora flavescens(苦参) | Lupeol | CID 259846 | MW 427 | ADMET False
  Sophora flavescens(苦参) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Silybum marianum(水飞蓟) | Silybin A | CID 31553 | MW 482 | ADMET True
  Silybum marianum(水飞蓟) | Silybin B | CID 1548994 | MW 482 | ADMET True
  Silybum marianum(水飞蓟) | Isosilybin A | CID 11059920 | MW 482 | ADMET True
  Silybum marianum(水飞蓟) | Isosilybin B | CID 10885340 | MW 482 | ADMET True
  Silybum marianum(水飞蓟) | Silychristin A | CID 441764 | MW 482 | ADMET False
  Silybum marianum(水飞蓟) | Silychristin B | CID 12442785 | MW 482 | ADMET False
  Silybum marianum(水飞蓟) | Silydianin | CID 11982272 | MW 482 | ADMET True
  Silybum marianum(水飞蓟) | Isosilychristin | CID 21589839 | MW 482 | ADMET False
  Silybum marianum(水飞蓟) | Silandrin | CID 441663 | MW 466 | ADMET True
  Silybum marianum(水飞蓟) | Silyhermin | CID 10389806 | MW 466 | ADMET True
  Silybum marianum(水飞蓟) | Neosilyhermin A | CID 42607997 | MW 466 | ADMET True
  Silybum marianum(水飞蓟) | Neosilyhermin B | CID 42607998 | MW 466 | ADMET True
  Silybum marianum(水飞蓟) | Silymonin | CID 156051 | MW 466 | ADMET True
  Silybum marianum(水飞蓟) | 2,3-Dehydrosilybin | CID 10696082 | MW 480 | ADMET True
  Silybum marianum(水飞蓟) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Silybum marianum(水飞蓟) | Campesterol | CID 173183 | MW 401 | ADMET False
  Silybum marianum(水飞蓟) | Stigmasterol | CID 5280794 | MW 413 | ADMET False
  Artemisia annua(青蒿) | Artemisinin | CID 68827 | MW 282 | ADMET True
  Artemisia annua(青蒿) | Arteannuin B | CID 6543478 | MW 248 | ADMET True
  Artemisia annua(青蒿) | Artemisinic acid | CID 10922465 | MW 234 | ADMET True
  Artemisia annua(青蒿) | Dihydroartemisinic acid | CID 11020893 | MW 236 | ADMET True
  Artemisia annua(青蒿) | Deoxyartemisinin | CID 12814879 | MW 266 | ADMET True
  Artemisia annua(青蒿) | Dihydroartemisinin | CID 3000518 | MW 284 | ADMET True
  Artemisia annua(青蒿) | Artemisitene | CID 11000442 | MW 280 | ADMET True
  Artemisia annua(青蒿) | beta-Caryophyllene | CID 5281515 | MW 204 | ADMET True
  Artemisia annua(青蒿) | Caryophyllene oxide | CID 1742210 | MW 220 | ADMET True
  Artemisia annua(青蒿) | Camphor | CID 2537 | MW 152 | ADMET True
  Artemisia annua(青蒿) | 1,8-Cineole | CID 2758 | MW 154 | ADMET True
  Artemisia annua(青蒿) | Artemisia ketone | CID 68346 | MW 152 | ADMET True
  Artemisia annua(青蒿) | Casticin | CID 5315263 | MW 374 | ADMET True
  Artemisia annua(青蒿) | Chrysosplenol D | CID 5280699 | MW 360 | ADMET True | PAINS:['catechol_A(92)']
  Artemisia annua(青蒿) | Chrysosplenetin | CID 5281608 | MW 374 | ADMET True
  Artemisia annua(青蒿) | Artemetin | CID 5320351 | MW 388 | ADMET True
  Artemisia annua(青蒿) | Cirsilineol | CID 162464 | MW 344 | ADMET True
  Artemisia annua(青蒿) | Eupatorin | CID 97214 | MW 344 | ADMET True
  Artemisia annua(青蒿) | Cirsimaritin | CID 188323 | MW 314 | ADMET True
  Artemisia annua(青蒿) | Scopoletin | CID 5280460 | MW 192 | ADMET True
  Artemisia annua(青蒿) | Scopolin | CID 439514 | MW 354 | ADMET True
  Artemisia annua(青蒿) | 4-Methylesculetin | CID 5319502 | MW 192 | ADMET True | PAINS:['catechol_A(92)']
  Artemisia annua(青蒿) | Umbelliferone | CID 5281426 | MW 162 | ADMET True
  Artemisia annua(青蒿) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False
  Artemisia annua(青蒿) | Stigmasterol | CID 5280794 | MW 413 | ADMET False
  Tripterygium wilfordii(雷公藤) | Triptophenolide | CID 173273 | MW 312 | ADMET True
  Tripterygium wilfordii(雷公藤) | Tripterifordin | CID 72369 | MW 318 | ADMET True
  Tripterygium wilfordii(雷公藤) | Wilforlide A | CID 158477 | MW 455 | ADMET False
  Tripterygium wilfordii(雷公藤) | Wilforlide B | CID 174362 | MW 453 | ADMET False
  Tripterygium wilfordii(雷公藤) | Celastrol | CID 122724 | MW 451 | ADMET False
  Tripterygium wilfordii(雷公藤) | Wilforic acid A | CID 101707492 | MW 455 | ADMET False | PAINS:['catechol_A(92)']
  [miss NOT_IN_PUBCHEM] Tripterygium wilfordii(雷公藤) | Wilforic acid B
  Tripterygium wilfordii(雷公藤) | Wilforgine | CID 122198188 | MW 858 | ADMET False
  Tripterygium wilfordii(雷公藤) | Wilforine | CID 3002219 | MW 868 | ADMET False
  Tripterygium wilfordii(雷公藤) | Wilfordine | CID 540150 | MW 884 | ADMET False
  Tripterygium wilfordii(雷公藤) | Wilfortrine | CID 44583780 | MW 874 | ADMET False
  [miss NOT_IN_PUBCHEM] Tripterygium wilfordii(雷公藤) | Wilforzine
  [miss NOT_IN_PUBCHEM] Tripterygium wilfordii(雷公藤) | Euonomine
  Tripterygium wilfordii(雷公藤) | beta-Sitosterol | CID 222284 | MW 415 | ADMET False

lookup: 233 entries | resolved in PubChem: 224 | ADMET-passed library: 131 across 10 herbs
herb
Artemisia annua(青蒿)            23
Bupleurum chinense(柴胡)          3
Coptis chinensis(黄连)           14
Ganoderma lucidum(灵芝)           6
Glycyrrhiza uralensis(甘草)      18
Salvia miltiorrhiza(丹参)        18
Schisandra chinensis(五味子)      18
Silybum marianum(水飞蓟)          11
Sophora flavescens(苦参)         18
Tripterygium wilfordii(雷公藤)     2
dtype: int64
