herb,name,status,note,cid,smiles,formula,mw,logp,hbd,hba,admet_pass,pains,mw_pubchem
Ganoderma lucidum(灵芝),Lucidenic acid N,OK,,21592283.0,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1(CC(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O)C)C,C27H40O6,460.61,3.93,3.0,5.0,True,,460.6
Ganoderma lucidum(灵芝),Lucidenic acid O,OK,,9847846.0,C[C@]12CC[C@@H]([C@@]([C@@H]1C[C@@H](C3=C2C(=O)C[C@]4([C@]3([C@H](C[C@@H]4C(=C)CCC(=O)O)O)C)C)O)(C)CO)O,C27H40O7,476.61,2.61,5.0,6.0,True,,476.6
Coptis chinensis(黄连),Berberine,OK,,2353.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,C20H18NO4+,336.37,3.1,0.0,4.0,True,,336.4
Coptis chinensis(黄连),Coptisine,OK,,72322.0,C1C[N+]2=C(C=C3C=CC4=C(C3=C2)OCO4)C5=CC6=C(C=C51)OCO6,C19H14NO4+,320.32,2.81,0.0,4.0,True,,320.3
Coptis chinensis(黄连),Palmatine,OK,,19009.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)OC)OC,C21H22NO4+,352.41,3.38,0.0,4.0,True,,352.4
Coptis chinensis(黄连),Epiberberine,OK,,160876.0,COC1=C(C=C2C(=C1)CC[N+]3=C2C=C4C=CC5=C(C4=C3)OCO5)OC,C20H18NO4+,336.37,3.1,0.0,4.0,True,,336.4
Coptis chinensis(黄连),Jatrorrhizine,OK,,72323.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)O)OC)OC,C20H20NO4+,338.38,3.08,1.0,4.0,True,,338.4
Coptis chinensis(黄连),Columbamine,OK,,72310.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC(=C(C=C4CC3)OC)O)OC,C20H20NO4+,338.38,3.08,1.0,4.0,True,,338.4
Coptis chinensis(黄连),Magnoflorine,OK,,73337.0,C[N+]1(CCC2=CC(=C(C3=C2[C@@H]1CC4=C3C(=C(C=C4)OC)O)O)OC)C,C20H24NO4+,342.42,3.01,2.0,4.0,True,,342.4
Coptis chinensis(黄连),Berberrubine,OK,,72704.0,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)O,C19H16NO4+,322.34,2.79,1.0,4.0,True,,322.3
Coptis chinensis(黄连),Worenine,OK,UNCERTAIN,20055073.0,CC1=C2C3=CC4=C(C=C3CC[N+]2=CC5=CC6=C(C=C15)OCO6)OCO4,C20H16NO4+,334.35,3.12,0.0,4.0,True,,334.3
Coptis chinensis(黄连),Canadine,OK,,34458.0,COC1=C(C2=C(CC3C4=CC5=C(C=C4CCN3C2)OCO5)C=C1)OC,C20H21NO4,339.39,3.09,0.0,5.0,True,,339.4
Coptis chinensis(黄连),Stylopine,OK,,440583.0,C1CN2CC3=C(C[C@H]2C4=CC5=C(C=C41)OCO5)C=CC6=C3OCO6,C19H17NO4,323.35,2.8,0.0,5.0,True,,323.3
Coptis chinensis(黄连),Groenlandicine,OK,UNCERTAIN,3084708.0,COC1=C(C=C2CC[N+]3=C(C2=C1)C=C4C=CC5=C(C4=C3)OCO5)O,C19H16NO4+,322.34,2.79,1.0,4.0,True,,322.3
Coptis chinensis(黄连),Menisperine,OK,UNCERTAIN,30358.0,C[N+]1(CCC2=CC(=C(C3=C2C1CC4=C3C(=C(C=C4)OC)O)OC)OC)C,C21H26NO4+,356.44,3.31,1.0,4.0,True,,356.4
Coptis chinensis(黄连),8-Oxocoptisine,OK,UNCERTAIN,5245667.0,C1CN2C(=CC3=C(C2=O)C4=C(C=C3)OCO4)C5=CC6=C(C=C51)OCO6,C19H13NO5,335.32,2.68,0.0,5.0,True,,335.3
Sophora flavescens(苦参),Matrine,OK,,91466.0,C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@@H](CCC4)CN2C(=O)C1,C15H24N2O,248.37,1.87,0.0,2.0,True,,248.36
Sophora flavescens(苦参),Oxymatrine,OK,,24864132.0,C1C[C@@H]2[C@H]3CCC[N@+]4([C@H]3[C@@H](CCC4)CN2C(=O)C1)[O-],C15H24N2O2,264.37,1.88,0.0,2.0,True,,264.36
Sophora flavescens(苦参),Sophoridine,OK,,165549.0,C1C[C@@H]2[C@H]3CCCN4[C@H]3[C@H](CCC4)CN2C(=O)C1,C15H24N2O,248.37,1.87,0.0,2.0,True,,248.36
Sophora flavescens(苦参),Sophocarpine,OK,,115269.0,C1C[C@H]2CN3[C@H](CC=CC3=O)[C@@H]4[C@H]2N(C1)CCC4,C15H22N2O,246.35,1.65,0.0,2.0,True,,246.35
Sophora flavescens(苦参),Oxysophocarpine,OK,,161544.0,C1C[C@H]2CN3[C@H](CC=CC3=O)[C@@H]4[C@H]2[N+](C1)(CCC4)[O-],C15H22N2O2,262.35,1.66,0.0,2.0,True,,262.35
Sophora flavescens(苦参),Sophoramine,OK,,169014.0,C1C[C@H]2CN3C(=O)C=CC=C3[C@@H]4[C@H]2N(C1)CCC4,C15H20N2O,244.34,1.82,0.0,2.0,True,,244.33
Sophora flavescens(苦参),Aloperine,OK,UNCERTAIN,162147.0,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)C=C4[C@H]3NCCC4,C15H24N2,232.37,2.17,1.0,2.0,True,,232.36
Sophora flavescens(苦参),N-Methylcytisine,OK,UNCERTAIN,670971.0,CN1C[C@@H]2C[C@H](C1)C3=CC=CC(=O)N3C2,C12H16N2O,204.27,0.9,0.0,2.0,True,,204.27
Sophora flavescens(苦参),Anagyrine,OK,UNCERTAIN,5351589.0,C1CCN2C[C@H]3C[C@@H]([C@H]2C1)CN4C3=CC=CC4=O,C15H20N2O,244.34,1.82,0.0,2.0,True,,244.33
Sophora flavescens(苦参),Baptifoline,OK,UNCERTAIN,160543.0,C1CN2C[C@H]3C[C@@H]([C@H]2C[C@H]1O)CN4C3=CC=CC4=O,C15H20N2O2,260.34,0.79,1.0,3.0,True,,260.33
Sophora flavescens(苦参),Kurarinol,OK,,44563198.0,CC(=C)[C@H](CCC(C)(C)O)CC1=C2C(=C(C=C1O)OC)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)O,C26H32O7,456.54,4.8,4.0,7.0,True,,456.5
Sophora flavescens(苦参),Sophoraflavanone G,OK,,72936.0,CC(=CC[C@H](CC1=C2C(=C(C=C1O)O)C(=O)C[C@H](O2)C3=C(C=C(C=C3)O)O)C(=C)C)C,C25H28O6,424.49,5.31,4.0,6.0,True,,424.5
