n,r2,rmse,mae,spearman,bias,method,assay_id,seed,n_cal,n_test
20,-0.013576384575741951,1.0453032689254724,0.8092274580546555,,0.12097792540484824,cal_mean_baseline,CHEMBL4402021,20260914,6,20
20,-0.21144441747371157,1.1427883736751168,0.9542385406805757,0.06591337567347101,-0.050511957064329004,A_assay_offset,CHEMBL4402021,20260914,6,20
20,-1.043351245591349,1.4841766008537727,1.1894595942416424,0.06591337567347101,-0.2998348244578226,B_assay_linear,CHEMBL4402021,20260914,6,20
20,0.2737970838022913,0.8847958178027143,0.6818345789292605,0.4751507371213405,0.07832336340838827,C_indicator_ridge,CHEMBL4402021,20260914,6,20
20,-0.2800708606514082,1.1747111003933415,1.022078401596713,0.06591337567347101,-0.276644826784788,D_shrunk_offset,CHEMBL4402021,20260914,6,20
20,0.27268111021707875,0.8854754003866048,0.6845638040879518,0.4751507371213405,0.07445363913470664,E_pool_ridge,CHEMBL4402021,20260914,6,20
28,-1.4888686704122267,0.9093315346744217,0.7223175340264696,0.15873056681827755,0.6335485602981207,none_canonical_only,CHEMBL5730715,20260914,9,28
28,-0.014854385668310766,0.5806616290895393,0.5479536539020887,,0.07025036895508571,cal_mean_baseline,CHEMBL5730715,20260914,9,28
28,-0.2809533341554673,0.6523608891797156,0.5434141706149477,0.15873056681827755,0.00864106670681213,A_assay_offset,CHEMBL5730715,20260914,9,28
28,-0.17582028124783577,0.6250168636188111,0.5343452309332625,0.15873056681827755,0.01782040339090288,B_assay_linear,CHEMBL5730715,20260914,9,28
28,-0.6236304376448691,0.7344544286943003,0.6372865382653394,-0.04527082181690285,-0.01373240523445461,C_indicator_ridge,CHEMBL5730715,20260914,9,28
28,-0.8624245263548551,0.7866120642899092,0.6551981151370642,0.15873056681827755,0.43961173549953664,D_shrunk_offset,CHEMBL5730715,20260914,9,28
28,-0.6207896447200878,0.7338116265116477,0.6367658661483786,-0.04527082181690285,-0.0052133347453886215,E_pool_ridge,CHEMBL5730715,20260914,9,28
80,0.10282527473540715,0.9742055098918146,0.7976131503379502,0.41968740680402083,0.14760328568283834,none_canonical_only,POOLED,20260914,25,80
80,0.3401549031448331,0.8354742387726491,0.6695488316792044,0.5899277532151554,0.20566322840515888,cal_mean_baseline,POOLED,20260914,25,80
80,0.22026742601205507,0.9082071259809106,0.7219797108640581,0.5796289842041451,0.12546755112473287,A_assay_offset,POOLED,20260914,25,80
80,0.06359721297329435,0.995275732989582,0.7462678185488631,0.5213022069000437,0.0750354949361495,B_assay_linear,POOLED,20260914,25,80
80,0.17739676151972972,0.9328402438414204,0.7131444519371404,0.6452760900259809,0.2900384310609511,C_indicator_ridge,POOLED,20260914,25,80
80,0.17534167766777464,0.9340047597279812,0.7715976930668683,0.4998351220277557,0.13771497048203268,D_shrunk_offset,POOLED,20260914,25,80
80,0.18027626208854686,0.9312061214129201,0.7123155182213201,0.643129670916152,0.2904840949899367,E_pool_ridge,POOLED,20260914,25,80
32,-0.055602919217260016,0.8558790292695394,0.7242510686498035,0.4264868488022038,0.023295824861667896,none_canonical_only,CHEMBL4123591,20260915,10,32
32,-0.030443449416243773,0.8456179155811878,0.7007067195756921,,0.1453479877473338,cal_mean_baseline,CHEMBL4123591,20260915,10,32
32,-0.19304020981845427,0.9098915561358855,0.7070305385872091,0.4264868488022038,0.3097037724019511,A_assay_offset,CHEMBL4123591,20260915,10,32
32,-0.06816487220095024,0.8609565609781725,0.7186273211972981,-0.4264868488022038,0.11593623969569042,B_assay_linear,CHEMBL4123591,20260915,10,32
32,-0.48771821420780337,1.0160672052093993,0.7608541318635706,0.6266275866181137,0.7416796139241679,C_indicator_ridge,CHEMBL4123591,20260915,10,32
32,-0.07514701548619662,0.863765832670709,0.7182842264752735,0.4264868488022038,0.11876529965414837,D_shrunk_offset,CHEMBL4123591,20260915,10,32
32,-0.46378730846195015,1.0078620273134424,0.7534366020421748,0.6258940453987774,0.7316347113610728,E_pool_ridge,CHEMBL4123591,20260915,10,32
20,-0.1258012789284464,1.2475935706931802,1.0698289888115151,0.16974032064061023,-0.18586318613316602,none_canonical_only,CHEMBL4402021,20260915,6,20
20,-0.2184345659352087,1.297906372344887,0.9869241347164494,,0.5495445954677861,cal_mean_baseline,CHEMBL4402021,20260915,6,20
20,-0.3941667540342457,1.3883520958882483,1.0445143658460991,0.16974032064061023,0.6368492352840703,A_assay_offset,CHEMBL4402021,20260915,6,20
20,-0.31118808601607384,1.3464020256795408,1.0218399006666559,0.16974032064061023,0.6070919263241094,B_assay_linear,CHEMBL4402021,20260915,6,20
20,-0.06163842218785809,1.211519958585426,0.9087749916853326,0.32355154251316776,0.4227745759365361,C_indicator_ridge,CHEMBL4402021,20260915,6,20
20,-0.10082649664855414,1.2336776485227097,1.0466005526917332,0.16974032064061023,0.003993343102673829,D_shrunk_offset,CHEMBL4402021,20260915,6,20
20,-0.05610043164724998,1.2083559063850078,0.9078877407850641,0.29796839729119634,0.41447832463953904,E_pool_ridge,CHEMBL4402021,20260915,6,20
28,-1.3530480883785976,0.86746530224466,0.6922318477321223,0.2172874260790183,0.6044179447718572,none_canonical_only,CHEMBL5730715,20260915,9,28
28,-0.03319611223183205,0.5748150000649331,0.571370434290497,,-0.10303394372127192,cal_mean_baseline,CHEMBL5730715,20260915,9,28
28,-0.24930231689981364,0.6320777222451059,0.5164896514013925,0.2172874260790183,-0.11111817278185367,A_assay_offset,CHEMBL5730715,20260915,9,28
28,-0.04965719368745991,0.579375937618005,0.5172903815699694,0.2172874260790183,-0.10835221072610242,B_assay_linear,CHEMBL5730715,20260915,9,28
28,-0.6345943625267063,0.7230056804770013,0.5914434615399967,0.08304547985373996,-0.008674886431058468,C_indicator_ridge,CHEMBL5730715,20260915,9,28
28,-0.6678437758320996,0.7303220201023568,0.6170763603351137,0.2172874260790183,0.3823548801966619,D_shrunk_offset,CHEMBL5730715,20260915,9,28
28,-0.6324755373076734,0.7225369343889879,0.5914271298673283,0.08304547985373996,-0.0009546714510692793,E_pool_ridge,CHEMBL5730715,20260915,9,28
80,0.16547801237399906,0.9723721572605492,0.799438821369043,0.508617161164538,0.1743988140815257,none_canonical_only,POOLED,20260915,25,80
80,0.27377100780356345,0.9070900732611907,0.7269933735110632,0.5096892550896702,0.15946346366343486,cal_mean_baseline,POOLED,20260915,25,80
80,0.1589761037091859,0.9761527695733762,0.7247121848868958,0.5793446514042085,0.24420245730814924,A_assay_offset,POOLED,20260915,25,80
80,0.23460708741574554,0.9312276040940781,0.7239625371950724,0.4302775849571408,0.16022420370516766,B_assay_linear,POOLED,20260915,25,80
80,0.15016230377746298,0.9812544031056513,0.7385406122057603,0.6962581319515351,0.3993292793029307,C_indicator_ridge,POOLED,20260915,25,80
80,0.23600035409856357,0.9303796478632234,0.7649405548803324,0.5797577103326899,0.18232866370615947,D_shrunk_offset,POOLED,20260915,25,80
80,0.15792403762393248,0.9767631305023299,0.7353460714667008,0.6932137615446493,0.39593933069643966,E_pool_ridge,POOLED,20260915,25,80
32,-0.1953810864093939,0.8301440984005163,0.7039687281539422,0.2863302752293578,-0.019030261780402402,none_canonical_only,CHEMBL4123591,20260916,10,32
32,-0.020144235777856068,0.7668864860301703,0.6207896119876775,,0.10776449367842938,cal_mean_baseline,CHEMBL4123591,20260916,10,32
32,-0.2249465759465199,0.84034741564487,0.7057021340346894,0.2863302752293578,0.13193447515807416,A_assay_offset,CHEMBL4123591,20260916,10,32
