molecule_id,canonical_smiles,inchikey,pActivity,n_records,assay_ids,documents,years,assay_format,overlaps_canonical_training,excluded,exclusion_reason
CHEMBL4581195,O=C(c1ccc(-c2ccccc2)cc1)N1CCN(C(=O)C2CCCO2)CC1,AVLYVKPANXQIGA-UHFFFAOYSA-N,5.943095148663527,1,CHEMBL4402021,CHEMBL4400560,2019,single protein format,False,False,
CHEMBL5747778,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3ccc(C(C)C)cc3)cc2)C1,IIJRBDGXZVEHSJ-XZOQPEGZSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5766844,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3cc4cn[nH]c4cc3C)cn2)C1,IBOVSXHSQNTVJG-ZWKOTPCHSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5779064,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3cc(F)c4c(c3)CCN4)nc2)C1,AHNAJHZZCLEHMM-ZWKOTPCHSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5802705,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2cnc(-c3nc4ccc(Cl)cc4o3)cn2)C1,KUBIHHFQMIFSKD-UONOGXRCSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5816706,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3ncc[nH]3)cc2)C1,LKDBLEWIIHXFOZ-JKSUJKDBSA-N,4.576754126063192,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5853285,CN(C(=O)c1ccc(-c2nc3ccccc3o2)cc1)[C@@H]1CC[C@H](NC(=O)c2ccncc2)C1,HQTOJNRWQPPKTK-LEWJYISDSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5860899,CCC(=O)N[C@H]1CC[C@@H](N(C)C(=O)c2ccc(-c3cc(F)c4[nH]ccc4c3)nn2)C1,SWIHPVCFTQIHEY-JKSUJKDBSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5866265,CN(C(=O)c1ccc(-c2nc3ccc(Cl)cc3o2)nn1)[C@@H]1CC[C@H](NC(=O)[C@@H]2CCCO2)C1,SHCNUJDVLGDBFR-KHYOSLBOSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
CHEMBL5870137,CN(C(=O)c1ncc(-c2nc3ccc(Cl)cc3o2)cn1)[C@@H]1CC[C@H](NC(=O)[C@@H]2CCCO2)C1,DZNXJAFSCCYFKD-JZXOWHBKSA-N,5.756961951313706,1,CHEMBL5730715,CHEMBL5725391,2017,cell-based format,False,False,
